seller,date,price
중고나라,5월25일,62000
중고나라,5월25일,65000
중고나라,5월25일,66000
중고나라,5월25일,65000
중고나라,5월25일,69000 
중고나라,5월29일,61000
중고나라,5월29일,62000
중고나라,5월29일,59000
중고나라,5월29일,55000
중고나라,5월29일,45000
중고나라,6월04일,45000
중고나라,6월04일,47000
중고나라,6월04일,50000
중고나라,6월04일,48000
중고나라,6월04일,50000
중고나라,6월04일,47000
중고나라,6월10일,39000
중고나라,6월10일,40000
중고나라,6월10일,37000
중고나라,6월10일,40000
중고나라,6월10일,40000
중고나라,6월20일,38000
중고나라,6월20일,35000
중고나라,6월20일,36000
중고나라,6월20일,35000
중고나라,7월01일,28000
중고나라,7월01일,25000
중고나라,7월01일,23000
중고나라,7월01일,29000
중고나라,7월01일,27000
중고나라,7월01일,28000
중고나라,7월10일,25000
중고나라,7월10일,25000
중고나라,7월10일,24000
중고나라,7월10일,25000
중고나라,7월10일,25000
중고나라,7월18일,20000
중고나라,7월18일,20000
중고나라,7월18일,21000
중고나라,7월18일,20000

